Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,11,3957,3146,2185,252,234,72,577,1737,0,0
F:\程式專案\Path\Path working NET 2008,11,3957,3146,2185,252,234,72,577,1737,0,0
